t x v E
 0.2 1 -0.05 1.0025
 0.4 0.99 -0.099 0.989901
 0.6 0.9702 -0.14652 0.962756
 0.8 0.940896 -0.1921 0.922188
 1 0.902476 -0.235302 0.86983
 1.2 0.855416 -0.27572 0.807757
 1.4 0.800272 -0.312977 0.738389
 1.6 0.737676 -0.346731 0.664388
 1.8 0.66833 -0.37668 0.588553
 2 0.592994 -0.402563 0.513699
 2.2 0.512482 -0.424161 0.44255
 2.4 0.427649 -0.441302 0.377631
 2.6 0.339389 -0.453858 0.321172
 2.8 0.248617 -0.461751 0.275024
 3 0.156267 -0.464947 0.240595
 3.2 0.0632778 -0.463461 0.2188
 3.4 -0.0294143 -0.457356 0.210039
 3.6 -0.120885 -0.446738 0.214188
 3.8 -0.210233 -0.431759 0.230614
 4 -0.296585 -0.412612 0.258211
 4.2 -0.379107 -0.38953 0.295456
 4.4 -0.457013 -0.362785 0.340474
 4.6 -0.52957 -0.332678 0.391119
 4.8 -0.596106 -0.299546 0.44507
 5 -0.656015 -0.26375 0.49992
 5.2 -0.708765 -0.225674 0.553277
 5.4 -0.7539 -0.185722 0.602858
 5.6 -0.791044 -0.144313 0.646577
 5.8 -0.819907 -0.101874 0.682626
 6 -0.840282 -0.0588416 0.709536
 6.2 -0.85205 -0.0156507 0.726234
 6.4 -0.85518 0.0272649 0.732077
 6.6 -0.849727 0.0694786 0.726864
 6.8 -0.835832 0.110575 0.710841
 7 -0.813717 0.150155 0.684681
 7.2 -0.783686 0.187838 0.649446
 7.4 -0.746118 0.223266 0.606539
 7.6 -0.701465 0.256106 0.557643
 7.8 -0.650244 0.286057 0.504645
 8 -0.593032 0.312848 0.449561
 8.2 -0.530462 0.336243 0.39445
 8.4 -0.463214 0.356041 0.341332
 8.6 -0.392006 0.372081 0.292113
 8.8 -0.317589 0.38424 0.248503
 9 -0.240741 0.392434 0.211961
 9.2 -0.162254 0.396623 0.183636
 9.4 -0.0829298 0.396803 0.16433
 9.6 -0.00356922 0.393014 0.154472
 9.8 0.0750335 0.385332 0.154111
 10 0.1521 0.373873 0.162916
 10.2 0.226875 0.358791 0.180203
 10.4 0.298633 0.340271 0.204966
 10.6 0.366687 0.318534 0.235924
 10.8 0.430394 0.293829 0.271575
 11 0.48916 0.266433 0.310264
 11.2 0.542446 0.236646 0.35025
 11.4 0.589776 0.204791 0.389775
 11.6 0.630734 0.171207 0.427137
 11.8 0.664975 0.136246 0.460755
 12 0.692224 0.100272 0.489229
 12.2 0.712279 0.0636554 0.511393
 12.4 0.72501 0.0267683 0.526356
 12.6 0.730364 -0.0100175 0.533531
 12.8 0.72836 -0.0463354 0.532655
 13 0.719093 -0.0818267 0.52379
 13.2 0.702728 -0.116145 0.507316
 13.4 0.679499 -0.148958 0.483907
 13.6 0.649707 -0.179954 0.454503
