t x v E
 0.2 1 0.15 1.0225
 0.4 1.03 0.296001 1.14852
 0.6 1.0892 0.434594 1.37523
 0.8 1.17612 0.56251 1.69967
 1 1.28862 0.676666 2.11842
 1.2 1.42395 0.774218 2.62706
 1.4 1.5788 0.852603 3.21953
 1.6 1.74932 0.909579 3.88745
 1.8 1.93123 0.943263 4.61941
 2 2.11989 0.952158 5.40052
 2.2 2.31032 0.935181 6.21213
 2.4 2.49735 0.891681 7.03187
 2.6 2.67569 0.821451 7.8341
 2.8 2.83998 0.724737 8.59073
 3 2.98493 0.602237 9.27249
 3.2 3.10538 0.455093 9.85047
 3.4 3.19639 0.284882 10.2981
 3.6 3.25337 0.093596 10.5932
 3.8 3.27209 -0.116385 10.7201
 4 3.24881 -0.34232 10.672
 4.2 3.18035 -0.581143 10.4523
 4.4 3.06412 -0.829507 10.0769
 4.6 2.89822 -1.08382 9.57435
 4.8 2.68145 -1.34031 8.98664
 5 2.41339 -1.59506 8.36867
 5.2 2.09438 -1.84406 7.78697
 5.4 1.72557 -2.08327 7.31761
 5.6 1.30891 -2.3087 7.04335
 5.8 0.847175 -2.51641 7.05005
 6 0.343892 -2.70264 7.42251
 6.2 -0.196635 -2.86378 8.23989
 6.4 -0.769391 -2.9965 9.57096
 6.6 -1.36869 -3.09776 11.4694
 6.8 -1.98824 -3.16486 13.9695
 7 -2.62121 -3.19551 17.0821
 7.2 -3.26032 -3.18783 20.7919
 7.4 -3.89788 -3.14041 25.0557
 7.6 -4.52597 -3.05233 29.8011
 7.8 -5.13643 -2.92318 34.9279
 8 -5.72107 -2.75308 40.3101
 8.2 -6.27168 -2.54269 45.7993
 8.4 -6.78022 -2.29322 51.2303
 8.6 -7.23887 -2.0064 56.4268
 8.8 -7.64015 -1.68449 61.2093
 9 -7.97704 -1.33026 65.4028
 9.2 -8.2431 -0.946959 68.8454
 9.4 -8.43249 -0.538296 71.3966
 9.6 -8.54015 -0.108384 72.9459
 9.8 -8.56182 0.33829 73.4193
 10 -8.49417 0.796918 72.7859
 10.2 -8.33478 1.26242 71.0623
 10.4 -8.0823 1.72951 68.3147
 10.6 -7.7364 2.19273 64.6599
 10.8 -7.29785 2.64657 60.263
 11 -6.76854 3.08547 55.3332
 11.2 -6.15144 3.50392 50.1177
 11.4 -5.45066 3.89653 44.8926
 11.6 -4.67135 4.25807 39.9527
 11.8 -3.81974 4.58358 35.5996
 12 -2.90302 4.86839 32.1288
 12.2 -1.92934 5.10821 29.8162
 12.4 -0.907698 5.29917 28.9051
 12.6 0.152135 5.43788 29.5937
 12.8 1.23971 5.52148 32.0237
 13 2.34401 5.54771 36.2714
 13.2 3.45355 5.51487 42.3408
 13.4 4.55652 5.42194 50.1594
 13.6 5.64091 5.26855 59.5775
 13.8 6.69462 5.05502 70.3712
 14 7.70563 4.78233 82.2474
 14.2 8.66209 4.45218 94.8538
 14.4 9.55253 4.06695 107.791
 14.6 10.3659 3.62965 120.627
 14.8 11.0918 3.14398 132.914
 15 11.7206 2.61422 144.208
 15.2 12.2435 2.04523 154.086
 15.4 12.6525 1.4424 162.167
 15.6 12.941 0.811603 168.129
 15.8 13.1033 0.159113 171.723
 16 13.1352 -0.508436 172.791
 16.2 13.0335 -1.18412 171.273
 16.4 12.7966 -1.86082 167.217
 16.6 12.4245 -2.53127 160.775
 16.8 11.9182 -3.18814 152.208
 17 11.2806 -3.82415 141.876
 17.2 10.5158 -4.4321 130.225
 17.4 9.62935 -5.00499 117.774
 17.6 8.62835 -5.53608 105.097
 17.8 7.52113 -6.019 92.7958
 18 6.31734 -6.44776 81.4823
 18.2 5.02778 -6.8169 71.7487
 18.4 3.6644 -7.12149 64.1435
 18.6 2.24011 -7.35725 59.1472
 18.8 0.768655 -7.52056 57.1496
 19 -0.735456 -7.60852 58.4304
 19.2 -2.25716 -7.61901 63.1441
 19.4 -3.78096 -7.55071 71.3088
 19.6 -5.2911 -7.40312 82.8019
 19.8 -6.77173 -7.17659 97.3597
 20 -8.20704 -6.87231 114.584
 20.2 -9.5815 -6.49232 133.955
 20.4 -10.88 -6.03951 154.849
 20.6 -12.0879 -5.51758 176.56
 20.8 -13.1914 -4.931 198.327
 21 -14.1776 -4.285 219.365
 21.2 -15.0346 -3.58553 238.895
 21.4 -15.7517 -2.83916 256.177
 21.6 -16.3195 -2.05305 270.542
 21.8 -16.7301 -1.23487 281.422
 22 -16.9771 -0.392755 288.377
 22.2 -17.0557 0.464842 291.112
 22.4 -16.9627 1.32918 289.5
 22.6 -16.6969 2.19133 283.587
 22.8 -16.2586 3.0423 273.597
 23 -15.6501 3.87308 259.927
 23.2 -14.8755 4.67479 243.135
 23.4 -13.9406 5.43873 223.919
 23.6 -12.8528 6.1565 203.097
 23.8 -11.6215 6.8201 181.573
 24 -10.2575 7.42199 160.302
 24.2 -8.7731 7.95519 140.252
 24.4 -7.18206 8.41339 122.367
 24.6 -5.49938 8.79095 107.524
 24.8 -3.74119 9.08305 96.4982
 25 -1.92458 9.28568 89.9279
 25.2 -0.0674435 9.39576 88.2848
 25.4 1.81171 9.4111 91.8511
 25.6 3.69393 9.33051 100.704
 25.8 5.56003 9.15377 114.705
 26 7.39079 8.88166 133.508
 26.2 9.16712 8.51598 156.558
 26.4 10.8703 8.0595 183.119
 26.6 12.4822 7.51597 212.295
 26.8 13.9854 6.89008 243.065
 27 15.3634 6.18745 274.319
 27.2 16.6009 5.41451 304.907
 27.4 17.6838 4.57851 333.68
 27.6 18.5995 3.68742 359.539
 27.8 19.337 2.74986 381.481
 28 19.887 1.775 398.642
 28.2 20.242 0.772493 410.334
 28.4 20.3965 -0.247627 416.077
 28.6 20.3469 -1.27506 415.624
 28.8 20.0919 -2.29933 408.973
 29 19.6321 -3.30991 396.373
 29.2 18.9701 -4.2963 378.322
 29.4 18.1108 -5.24818 355.545
 29.6 17.0612 -6.15548 328.974
 29.8 15.8301 -7.0085 299.711
 30 14.4284 -7.79803 268.988
 30.2 12.8688 -8.51543 238.118
 30.4 11.1657 -9.15273 208.445
 30.6 9.33515 -9.70271 181.288
 30.8 7.39461 -10.159 157.886
 31 5.36281 -10.5161 139.349
 31.2 3.25958 -10.7697 126.61
 31.4 1.10565 -10.9161 120.383
 31.6 -1.07757 -10.953 121.13
 31.8 -3.26817 -10.8792 129.039
 32 -5.44402 -10.6946 144.011
 32.2001 -7.58294 -10.4 165.661
 32.4001 -9.66294 -9.99769 193.326
 32.6001 -11.6625 -9.49086 226.09
 32.8001 -13.5606 -8.88388 262.814
 33.0001 -15.3374 -8.18215 302.184
 33.2001 -16.9739 -7.39212 342.755
 33.4001 -18.4523 -6.52114 383.012
 33.6001 -19.7565 -5.5775 421.428
 33.8001 -20.872 -4.57025 456.528
 34.0001 -21.7861 -3.5092 486.947
 34.2001 -22.4879 -2.40474 511.488
 34.4001 -22.9688 -1.2678 529.175
 34.6001 -23.2224 -0.109735 539.292
 34.8001 -23.2444 1.05783 541.419
 35.0001 -23.0328 2.22309 535.451
 35.2001 -22.5882 3.37416 521.61
 35.4001 -21.9133 4.49924 500.437
 35.6001 -21.0135 5.58671 472.778
 35.8001 -19.8961 6.62524 439.75
 36.0001 -18.5711 7.60396 402.706
 36.2001 -17.0503 8.5125 363.176
 36.4001 -15.3478 9.34117 322.812
 36.6001 -13.4796 10.081 283.326
