t x v
 0.2 0.98 -0.2
 0.4 0.9204 -0.392
 0.6 0.823592 -0.56824
 0.8 0.693472 -0.721594
 1 0.535284 -0.845856
 1.2 0.355407 -0.935996
 1.4 0.1611 -0.988357
 1.6 -0.0397937 -1.00081
 1.8 -0.23916 -0.972835
 2 -0.428944 -0.905546
 2.2 -0.601474 -0.801647
 2.4 -0.749774 -0.665319
 2.6 -0.867842 -0.502058
 2.8 -0.950897 -0.318448
 3 -0.995569 -0.1219
 3.2 -1.00004 0.0796519
 3.4 -0.964106 0.278066
 3.6 -0.889211 0.465326
 3.8 -0.778361 0.633862
 4 -0.636022 0.776857
 4.2 -0.46793 0.888524
 4.4 -0.280867 0.96434
 4.6 -0.0823812 1.00123
 4.8 0.119512 0.997678
 5 0.316657 0.953822
 5.2 0.501088 0.871414
 5.4 0.665349 0.753768
 5.6 0.802796 0.605623
 5.8 0.907865 0.432951
 6 0.976298 0.242719
 6.2 1.00532 0.0426054
 6.4 0.99373 -0.15931
 6.6 0.941994 -0.35487
 6.8 0.85218 -0.536171
 7 0.727902 -0.695884
 7.2 0.574167 -0.827546
 7.4 0.397175 -0.925829
 7.6 0.204065 -0.986747
 7.8 0.0026347 -1.00783
 8 -0.198983 -0.988196
 8.2 -0.392643 -0.928635
 8.4 -0.570517 -0.831534
 8.6 -0.725413 -0.7008
 8.8 -0.851065 -0.541701
 9 -0.942384 -0.360654
 9.2 -0.995667 -0.164965
 9.4 -1.00875 0.0374682
 9.6 -0.981078 0.238468
 9.8 -0.913763 0.429914
 10 -0.809505 0.604069
 10.2 -0.672501 0.753888
 10.4 -0.508273 0.873311
 10.6 -0.323446 0.957499
 10.8 -0.125477 1.00304
 11 0.0776404 1.00807
 11.2 0.277702 0.972383
 11.4 0.466625 0.897395
 11.6 0.636771 0.786122
 11.8 0.78126 0.643046
 12 0.894244 0.473933
 12.2 0.971146 0.285605
 12.4 1.00884 0.0856639
 12.6 1.0058 -0.117818
 12.8 0.96212 -0.316622
 13 0.879554 -0.502714
 13.2 0.76142 -0.66857
 13.4 0.612477 -0.807483
 13.6 0.438731 -0.913828
 13.8 0.247191 -0.983298
 14 0.0455876 -1.01307
 14.2 -0.157938 -1.00193
 14.4 -0.355165 -0.9503
 14.6 -0.538122 -0.860261
 14.8 -0.699411 -0.735432
 15 -0.832509 -0.580841
 15.2 -0.932027 -0.402722
 15.4 -0.993931 -0.208262
 15.6 -1.01571 -0.00531067
 15.8 -0.996453 0.197937
 16 -0.936937 0.393268
 16.2 -0.839544 0.57279
 16.4 -0.708195 0.729244
 16.6 -0.548183 0.856298
 16.8 -0.36596 0.948808
 17 -0.168879 1.00302
 17.2 0.0351037 1.01674
 17.4 0.237749 0.989384
 17.6 0.430871 0.922046
 17.8 0.606663 0.817431
 18 0.758016 0.67975
 18.2 0.878806 0.514552
 18.4 0.96414 0.328499
 18.6 1.01056 0.129101
 18.8 1.01617 -0.075592
 19 0.980725 -0.277313
 19.2 0.905647 -0.467912
 19.4 0.793952 -0.639683
 19.6 0.650136 -0.78568
 19.8 0.479998 -0.899994
 20 0.290399 -0.977993
 20.2 0.0889923 -1.01651
 20.4 -0.11609 -1.01398
 20.6 -0.316565 -0.970484
 20.8 -0.50433 -0.887761
 21 -0.671796 -0.76914
 21.2 -0.812188 -0.619398
 21.4 -0.919824 -0.444572
 21.6 -0.990342 -0.251716
 21.8 -1.02088 -0.0486135
 22 -1.01018 0.156534
 22.2 -0.958673 0.35544
 22.4 -0.868411 0.540066
 22.6 -0.74303 0.702947
 22.8 -0.58758 0.837494
 23 -0.408329 0.93826
 23.2 -0.212511 1.00116
 23.4 -0.00802828 1.02364
 23.6 0.19686 1.00477
 23.8 0.393878 0.945305
 24 0.575061 0.847623
 24.2 0.733084 0.715659
 24.4 0.861555 0.554729
 24.6 0.955269 0.371323
 24.8 1.01043 0.172843
 25 1.02479 -0.0326996
 25.2 0.997753 -0.237003
 25.4 0.930397 -0.431814
 25.6 0.825426 -0.609257
 25.8 0.687066 -0.762157
 26 0.520894 -0.884327
 26.2 0.33361 -0.970819
 26.4 0.132774 -1.01813
 26.6 -0.0735062 -1.02432
 26.8 -0.2769 -0.98913
 27 -0.469187 -0.913967
 27.2 -0.642597 -0.80185
 27.4 -0.790115 -0.657294
 27.6 -0.905772 -0.486125
 27.8 -0.984881 -0.295248
 28 -1.02423 -0.0923668
 28.2 -1.02222 0.114327
 28.4 -0.978912 0.316485
 28.6 -0.896037 0.505938
 28.8 -0.776929 0.675026
 29 -0.626385 0.816912
 29.2 -0.450475 0.92585
 29.4 -0.256295 0.997428
 29.6 -0.0516836 1.02874
 29.8 0.155098 1.0185
 30 0.355696 0.967111
 30.2 0.542004 0.87663
 30.4 0.70649 0.750696
 30.6 0.8425 0.594384
 30.8 0.944527 0.413997
 31 1.00844 0.216811
 31.2 1.03163 0.0107881
 31.4 1.01315 -0.195753
 31.6 0.95374 -0.394469
 31.8 0.855772 -0.577328
 32 0.723191 -0.736936
 32.2001 0.56134 -0.866835
 32.4001 0.376746 -0.961766
 32.6001 0.176858 -1.01788
 32.8001 -0.0302556 -1.03289
 33.0001 -0.236229 -1.00619
 33.2001 -0.432742 -0.938816
 33.4001 -0.61185 -0.833491
 33.6001 -0.766311 -0.694451
 33.8001 -0.889875 -0.5273
 34.0001 -0.977538 -0.338779
 34.2001 -1.02574 -0.136496
 34.4001 -1.03253 0.0713828
 34.6001 -0.9976 0.276461
 34.8001 -0.922356 0.470451
 35.0001 -0.809818 0.645513
 35.2001 -0.664519 0.794567
 35.4001 -0.492316 0.911579
 35.6001 -0.300153 0.991811
 35.8001 -0.0957881 1.03201
 36.0001 0.112529 1.03052
 36.2001 0.316383 0.987406
 36.4001 0.507536 0.904382
 36.6001 0.678262 0.784787
 36.8001 0.821654 0.633439
 37.0001 0.931909 0.456439
 37.2001 1.00456 0.260929
 37.4001 1.03665 0.0547982
 37.6001 1.02688 -0.153628
 37.8001 0.975616 -0.355932
 38.0001 0.884918 -0.543936
 38.2001 0.758432 -0.710041
 38.4001 0.601255 -0.847527
 38.6001 0.419725 -0.950827
 38.8001 0.221165 -1.01576
 39.0001 0.0135904 -1.03967
 39.2001 -0.194616 -1.0216
 39.4001 -0.395043 -0.962243
 39.6001 -0.579591 -0.863989
 39.8001 -0.740797 -0.730791
 40.0001 -0.872139 -0.568016
 40.2001 -0.9683 -0.382228
 40.4001 -1.02538 -0.180923
 40.6001 -1.04106 0.027771
 40.8001 -1.01468 0.235427
 41.0001 -0.947302 0.433655
 41.2001 -0.841625 0.614442
 41.4001 -0.701904 0.770478
 41.6001 -0.533771 0.89545
 41.8001 -0.344005 0.984295
 42.0001 -0.140266 1.03341
 42.2001 0.0692211 1.04079
 42.4001 0.275996 1.00613
 42.6001 0.471703 0.930813
 42.8001 0.648431 0.817856
 43.0001 0.799034 0.671813
 43.2001 0.917416 0.49857
 43.4001 0.998781 0.305115
 43.6001 1.03983 0.0992566
 43.8001 1.03888 -0.110694
 44.0001 0.995967 -0.316257
 44.2001 0.912796 -0.509125
 44.4001 0.792715 -0.681502
 44.6001 0.640561 -0.826415
 44.8001 0.462466 -0.937999
 45.0001 0.265617 -1.01173
 45.2001 0.0579583 -1.04462
 45.4001 -0.152125 -1.03532
 45.6001 -0.356147 -0.984189
 45.8001 -0.545861 -0.893276
 46.0001 -0.713599 -0.766238
 46.2001 -0.852575 -0.608193
 46.4001 -0.957162 -0.425514
 46.6001 -1.02312 -0.225572
 46.8001 -1.04777 -0.0164359
 47.0001 -1.03011 0.193448
 47.2001 -0.970814 0.3956
 47.4001 -0.872278 0.58185
 47.6001 -0.738462 0.744669
 47.8001 -0.574759 0.877468
 48.0001 -0.38777 0.97487
 48.2001 -0.185041 1.03293
 48.4001 0.0252455 1.04928
 48.6001 0.234596 1.02324
 48.8001 0.434552 0.955858
 49.0001 0.617033 0.84983
 49.2001 0.774658 0.709427
 49.4001 0.901051 0.540307
 49.6001 0.991091 0.349291
 49.8001 1.04113 0.144087
 50.0001 1.04912 -0.0670206
 50.2001 1.01474 -0.275505
 50.4001 0.93934 -0.472942
 50.6001 0.825965 -0.651351
 50.8001 0.679175 -0.803517
 51.0001 0.504888 -0.923281
 51.2001 0.310134 -1.00579
 51.4001 0.102773 -1.0477
 51.6001 -0.108823 -1.0473
 51.8001 -0.316108 -1.00459
 52.0001 -0.510705 -0.921281
 52.2001 -0.684747 -0.800714
 52.4001 -0.831195 -0.647751
 52.6001 -0.944121 -0.468557
 52.8001 -1.01895 -0.270361
 53.0001 -1.05264 -0.0611641
 53.2001 -1.04382 0.150588
 53.4001 -0.992829 0.356341
 53.6001 -0.901704 0.54778
 53.8001 -0.774114 0.717165
 54.0001 -0.615199 0.857644
 54.2001 -0.431366 0.963531
 54.4001 -0.230032 1.03053
 54.6001 -0.0193251 1.05593
 54.8001 0.192247 1.03868
 55.0001 0.396138 0.979453
 55.2001 0.584106 0.880637
 55.4001 0.748551 0.746203
 55.6001 0.88282 0.581568
 55.8001 0.981478 0.393373
 56.0001 1.04052 0.18921
 56.2001 1.05755 -0.0226787
 56.4001 1.03187 -0.233736
 56.6001 0.964483 -0.435435
 56.8001 0.858106 -0.619623
 57.0001 0.71702 -0.778851
 57.2001 0.546909 -0.906678
 57.4001 0.354635 -0.997927
 57.6001 0.147957 -1.0489
 57.8001 -0.0647811 -1.05751
 58.0001 -0.274987 -1.0234
 58.2001 -0.474168 -0.947937
 58.4002 -0.654272 -0.834144
 58.6002 -0.808015 -0.686607
 58.8002 -0.929176 -0.511272
 59.0002 -1.01285 -0.315211
 59.2002 -1.05563 -0.106337
 59.4002 -1.05579 0.106916
 59.6002 -1.01329 0.315935
 59.8002 -0.929836 0.512274
 60.0002 -0.808784 0.687996
 60.2002 -0.655009 0.835992
 60.4002 -0.474711 0.950274
 60.6002 -0.275162 1.02621
 60.8002 -0.0644161 1.06072
 61.0002 0.149016 1.05239
 61.2002 0.356513 1.00154
 61.4002 0.549691 0.910204
 61.6002 0.720737 0.782062
 61.8002 0.862735 0.622273
 62.0002 0.969935 0.43728
 62.2002 1.03799 0.234548
 62.4002 1.06414 0.0222583
 62.6002 1.04731 -0.191015
 62.8002 0.988162 -0.396657
 63.0002 0.889067 -0.586356
 63.2002 0.754014 -0.752443
 63.4002 0.588446 -0.888197
 63.6002 0.399037 -0.988122
 63.8002 0.193432 -1.04817
 64.0002 -0.0200698 -1.06589
 64.2002 -0.232846 -1.04056
 64.4002 -0.436301 -0.973178
 64.6002 -0.622211 -0.866454
 64.8002 -0.783057 -0.724683
 65.0002 -0.912333 -0.553578
 65.2001 -1.0048 -0.36004
 65.4001 -1.05671 -0.151878
 65.6001 -1.06595 0.0625018
 65.8001 -1.03214 0.274443
 66.0001 -0.956604 0.475381
 66.2001 -0.842396 0.657194
 66.4001 -0.694109 0.812529
 66.6001 -0.517721 0.935101
 66.8001 -0.320346 1.01994
 67.0001 -0.109951 1.06361
 67.2001 0.104971 1.06433
 67.4001 0.315738 1.02205
 67.6001 0.513833 0.938462
 67.8001 0.691249 0.816926
 68.0001 0.840809 0.662338
 68.2001 0.95646 0.480929
 68.4001 1.03352 0.280019
 68.6001 1.06885 0.0677148
 68.8001 1.06102 -0.147409
 69.0001 1.01031 -0.356665
 69.2001 0.918775 -0.551594
 69.4001 0.79008 -0.724317
 69.6001 0.629415 -0.867847
 69.8001 0.443258 -0.976373
 70.0001 0.239118 -1.0455
 70.2001 0.0252361 -1.07241
 70.4001 -0.189751 -1.05601
 70.6001 -0.397158 -0.996939
 70.8001 -0.588602 -0.897569
 71.0001 -0.756344 -0.761897
 71.2001 -0.893597 -0.59539
 71.4001 -0.994803 -0.404763
 71.6001 -1.05586 -0.197707
 71.8 -1.07428 0.0174186
 72 -1.04931 0.231927
 72.2 -0.981943 0.437151
 72.4 -0.874874 0.624797
 72.6 -0.732417 0.787276
 72.8 -0.560313 0.918014
 73 -0.365504 1.01172
 73.2 -0.155851 1.06458
 73.4 0.0601825 1.07446
 73.6 0.273871 1.04094
 73.8 0.476581 0.965342
 74 0.660118 0.850719
 74.2 0.817059 0.701681
 74.4 0.941054 0.524236
 74.6 1.02708 0.32554
 74.8 1.07165 0.113614
 75 1.07294 -0.102988
