t x v
 0.2 0.995 -0.0495
 0.4 0.980224 -0.0975249
 0.6 0.956013 -0.143627
 0.8 0.922795 -0.187388
 1 0.881078 -0.228419
 1.2 0.831446 -0.266368
 1.4 0.774547 -0.300918
 1.6 0.711093 -0.331796
 1.8 0.641842 -0.358766
 2 0.567597 -0.38164
 2.2 0.489194 -0.400271
 2.4 0.407495 -0.41456
 2.6 0.323374 -0.42445
 2.8 0.237716 -0.42993
 3 0.151402 -0.431035
 3.2 0.0652996 -0.42784
 3.4 -0.0197391 -0.420462
 3.6 -0.102892 -0.409057
 3.8 -0.183371 -0.393819
 4 -0.26043 -0.374976
 4.2 -0.333373 -0.352785
 4.4 -0.401558 -0.327534
 4.6 -0.464402 -0.299534
 4.8 -0.521387 -0.269118
 5 -0.572066 -0.236635
 5.2 -0.616059 -0.202449
 5.4 -0.653064 -0.166933
 5.6 -0.682851 -0.130467
 5.8 -0.70527 -0.0934301
 6 -0.720242 -0.0562022
 6.2 -0.727769 -0.0191564
 6.4 -0.727923 0.0173432
 6.6 -0.72085 0.0529453
 6.8 -0.706762 0.0873143
 7 -0.68594 0.120134
 7.2 -0.658724 0.151108
 7.4 -0.625511 0.179968
 7.6 -0.58675 0.206467
 7.8 -0.542935 0.230391
 8 -0.494603 0.251553
 8.2 -0.442323 0.269797
 8.4 -0.386692 0.285001
 8.6 -0.328328 0.297074
 8.8 -0.267865 0.305959
 9 -0.205946 0.311631
 9.2 -0.143214 0.314097
 9.4 -0.0803065 0.313396
 9.6 -0.0178525 0.309599
 9.8 0.0435373 0.302805
 10 0.103275 0.29314
 10.2 0.1608 0.280758
 10.4 0.215586 0.265836
 10.6 0.267144 0.248571
 10.8 0.315025 0.229183
 11 0.358828 0.207906
 11.2 0.3982 0.184988
 11.4 0.432836 0.160689
 11.6 0.462488 0.135279
 11.8 0.486961 0.10903
 12 0.506114 0.0822219
 12.2 0.519864 0.0551302
 12.4 0.52818 0.0280297
 12.6 0.531089 0.00118965
 12.8 0.528669 -0.0251288
 13 0.52105 -0.0506747
 13.2 0.508411 -0.07521
 13.4 0.490978 -0.0985111
 13.6 0.469018 -0.120371
 13.8 0.442839 -0.140603
 14 0.412786 -0.159036
 14.2 0.379232 -0.175525
 14.4 0.342582 -0.189944
 14.6 0.303261 -0.202191
 14.8 0.26171 -0.212188
 15 0.218389 -0.219881
 15.2 0.17376 -0.225238
 15.4 0.128294 -0.228253
 15.6 0.0824588 -0.228943
 15.8 0.0367158 -0.227347
 16 -0.00848249 -0.223526
 16.2 -0.0526983 -0.217563
 16.4 -0.0955122 -0.209559
 16.6 -0.136527 -0.199634
 16.8 -0.175372 -0.187925
 17 -0.211704 -0.174583
 17.2 -0.245213 -0.159774
 17.4 -0.275623 -0.143674
 17.6 -0.302692 -0.126467
 17.8 -0.326219 -0.108348
 18 -0.346041 -0.0895129
 18.2 -0.362034 -0.0701639
 18.4 -0.374116 -0.0505032
 18.6 -0.382245 -0.0307319
 18.8 -0.386419 -0.0110486
 19 -0.386675 0.00835311
 19.2 -0.383087 0.0272863
 19.4 -0.375769 0.0455725
 19.6 -0.364867 0.0630428
 19.8 -0.35056 0.0795403
 20 -0.333058 0.0949204
 20.2 -0.312599 0.109053
 20.4 -0.289443 0.121822
 20.6 -0.263875 0.133128
 20.8 -0.236197 0.142888
 21 -0.206724 0.151037
 21.2 -0.175785 0.157524
 21.4 -0.143716 0.162318
 21.6 -0.110859 0.165407
 21.8 -0.0775539 0.166792
 22 -0.0441412 0.166495
 22.2 -0.0109545 0.164551
 22.4 0.0216813 0.161012
 22.6 0.0534533 0.155946
 22.8 0.0840633 0.149432
 23 0.113231 0.141565
 23.2 0.140694 0.13245
 23.4 0.166216 0.1222
 23.6 0.189581 0.110942
 23.8 0.210599 0.0988066
 24 0.22911 0.0859315
 24.2 0.244979 0.0724595
 24.4 0.258101 0.0585361
 24.6 0.2684 0.0443084
 24.8 0.275832 0.0299237
 25 0.280377 0.0155279
 25.2 0.28205 0.00126416
 25.4 0.28089 -0.0127287
 25.6 0.276965 -0.026317
 25.8 0.27037 -0.0393742
 26 0.261222 -0.051781
 26.2 0.249663 -0.0634273
 26.4 0.235856 -0.0742126
 26.6 0.219983 -0.084047
 26.8 0.202241 -0.0928518
 27 0.182846 -0.10056
 27.2 0.162021 -0.107117
 27.4 0.140001 -0.112481
 27.6 0.11703 -0.116621
 27.8 0.093354 -0.119522
 28 0.0692219 -0.121179
 28.2 0.0448824 -0.1216
 28.4 0.0205812 -0.120806
 28.6 -0.00344132 -0.118829
 28.8 -0.0269522 -0.115711
 29 -0.0497283 -0.111508
 29.2 -0.0715582 -0.106281
 29.4 -0.092244 -0.100103
 29.6 -0.111603 -0.0930542
 29.8 -0.12947 -0.0852221
 30 -0.145696 -0.0766998
 30.2 -0.160155 -0.0675857
 30.4 -0.172736 -0.0579819
 30.6 -0.183353 -0.0479936
 30.8 -0.191938 -0.0377274
 31 -0.198449 -0.0272908
 31.2 -0.20286 -0.0167908
 31.4 -0.20517 -0.00633277
 31.6 -0.205398 0.00398022
 31.8 -0.203583 0.0140487
 32 -0.199784 0.0237777
 32.2001 -0.194077 0.0330773
 32.4001 -0.186557 0.0418638
 32.6001 -0.177335 0.0500602
 32.8001 -0.166537 0.0575968
 33.0001 -0.1543 0.0644119
 33.2001 -0.140775 0.0704524
 33.4001 -0.126121 0.0756735
 33.6001 -0.110507 0.0800398
 33.8001 -0.094107 0.0835249
 34.0001 -0.0770985 0.0861118
 34.2001 -0.0596629 0.0877926
 34.4001 -0.0419817 0.0885687
 34.6001 -0.0242352 0.0884503
 34.8001 -0.00660082 0.0874563
 35.0001 0.0107485 0.0856142
 35.2001 0.0276464 0.0829589
 35.4001 0.043934 0.079533
 35.6001 0.0594619 0.0753859
 35.8001 0.074091 0.0705729
 36.0001 0.087694 0.0651552
 36.2001 0.100156 0.0591985
 36.4001 0.111377 0.0527726
 36.6001 0.121269 0.0459507
 36.8001 0.129761 0.0388083
 37.0001 0.136796 0.0314227
 37.2001 0.142334 0.0238721
 37.4001 0.146349 0.0162345
 37.6001 0.148831 0.00858764
 37.8001 0.149788 0.00100751
 38.0001 0.149238 -0.00643197
 38.2001 0.147218 -0.0136597
 38.4001 0.143778 -0.0206083
 38.6001 0.138978 -0.0272142
 38.8001 0.132895 -0.0334187
 39.0001 0.125614 -0.0391682
 39.2001 0.11723 -0.0444148
 39.4001 0.10785 -0.0491162
 39.6001 0.0975858 -0.0532367
 39.8001 0.086557 -0.0567469
 40.0001 0.0748883 -0.0596241
 40.2001 0.0627083 -0.0618524
 40.4001 0.050148 -0.0634226
 40.6001 0.0373396 -0.064332
 40.8001 0.0244151 -0.0645849
 41.0001 0.0115053 -0.0641917
 41.2001 -0.00126222 -0.0631693
 41.4001 -0.0137634 -0.0615402
 41.6001 -0.0258796 -0.0593327
 41.8001 -0.037498 -0.0565802
 42.0001 -0.0485134 -0.0533209
 42.2001 -0.0588284 -0.0495971
 42.4001 -0.0683545 -0.0454551
 42.6001 -0.0770128 -0.0409443
 42.8001 -0.0847347 -0.0361167
 43.0001 -0.0914622 -0.0310266
 43.2001 -0.0971481 -0.0257298
 43.4001 -0.101757 -0.0202829
 43.6001 -0.105264 -0.0147429
 43.8001 -0.107657 -0.00916669
 44.0001 -0.108934 -0.00361034
 44.2001 -0.109104 0.00187141
 44.4001 -0.108188 0.00722563
 44.6001 -0.106216 0.0124017
 44.8001 -0.103229 0.0173519
 45.0001 -0.0992777 0.0220314
 45.2001 -0.0944191 0.0263993
 45.4001 -0.0887199 0.0304183
 45.6001 -0.0822535 0.0340556
 45.8001 -0.0750992 0.0372825
 46.0001 -0.0673418 0.0400753
 46.2001 -0.0590701 0.0424149
 46.4001 -0.0503766 0.044287
 46.6001 -0.0413559 0.0456823
 46.8001 -0.0321041 0.0465965
 47.0001 -0.0227174 0.0470301
 47.2001 -0.0132919 0.0469882
 47.4001 -0.00392177 0.0464809
 47.6001 0.00530105 0.0455223
 47.8001 0.0142879 0.0441309
 48.0001 0.0229544 0.0423292
 48.2001 0.0312208 0.0401432
 48.4001 0.0390131 0.0376022
 48.6001 0.0462633 0.0347385
 48.8001 0.0529102 0.031587
 49.0001 0.0588999 0.0281846
 49.2001 0.0641859 0.0245701
 49.4001 0.0687298 0.0207835
 49.6001 0.0725013 0.016866
 49.8001 0.0754783 0.0128589
 50.0001 0.0776469 0.00880379
 50.2001 0.0790019 0.00474193
 50.4001 0.0795458 0.00071374
 50.6001 0.0792893 -0.00324148
 50.8001 0.0782511 -0.00708591
 51.0001 0.0764568 -0.0107836
 51.2001 0.0739394 -0.0143008
 51.4001 0.0707381 -0.0176061
 51.6001 0.0668984 -0.020671
 51.8001 0.0624711 -0.0234699
 52.0001 0.0575117 -0.0259801
 52.2001 0.0520801 -0.0281826
 52.4001 0.0462395 -0.0300617
 52.6001 0.0400561 -0.031605
 52.8001 0.033598 -0.032804
 53.0001 0.0269348 -0.0336535
 53.2001 0.0201367 -0.0341522
 53.4001 0.0132739 -0.034302
 53.6001 0.00641576 -0.0341084
 53.8001 -0.000369778 -0.0335801
 54.0001 -0.00701678 -0.032729
 54.2001 -0.013462 -0.03157
 54.4001 -0.0196456 -0.0301207
 54.6001 -0.0255112 -0.0284012
 54.8001 -0.0310071 -0.0264341
 55.0001 -0.036086 -0.0242436
 55.2001 -0.0407058 -0.0218561
 55.4001 -0.0448298 -0.0192992
 55.6001 -0.0484269 -0.0166015
 55.8001 -0.0514719 -0.0137926
 56.0001 -0.0539455 -0.0109027
 56.2001 -0.0558345 -0.00796202
 56.4001 -0.0571318 -0.00500076
 56.6001 -0.0578363 -0.00204871
 56.8001 -0.0579527 0.000864989
 57.0001 -0.0574917 0.0037122
 57.2001 -0.0564692 0.00646597
 57.4001 -0.0549066 0.00910084
 57.6001 -0.0528301 0.011593
