t x v E
 0.2 1.015 0.14825 1.0522
 0.4 1.05918 0.290095 1.20601
 0.6 1.13092 0.422294 1.45732
 0.8 1.22799 0.541804 1.80151
 1 1.34755 0.645829 2.23298
 1.2 1.48624 0.731859 2.74451
 1.4 1.64022 0.797706 3.32665
 1.6 1.80526 0.84154 3.96716
 1.8 1.97679 0.861913 4.65061
 2 2.15 0.857779 5.35829
 2.2 2.3199 0.828515 6.06836
 2.4 2.48142 0.773923 6.75638
 2.6 2.62949 0.69424 7.3962
 2.8 2.75915 0.590129 7.96118
 3 2.8656 0.462676 8.42575
 3.2 2.9443 0.313372 8.7671
 3.4 2.99104 0.144092 8.9671
 3.6 3.00204 -0.0429299 9.01409
 3.8 2.97399 -0.24513 8.90468
 4 2.90411 -0.459653 8.64516
 4.2 2.79026 -0.683389 8.25257
 4.4 2.6309 -0.913021 7.75524
 4.6 2.4252 -1.14507 7.19276
 4.8 2.17302 -1.37592 6.6152
 5 1.87498 -1.60194 6.08175
 5.2 1.5324 -1.81943 5.65856
 5.4 1.14735 -2.02476 5.41608
 5.6 0.722627 -2.2144 5.42574
 5.8 0.261719 -2.38492 5.75635
 6 -0.231223 -2.53313 6.47021
 6.2 -0.751427 -2.65604 7.61921
 6.4 -1.29355 -2.75097 9.24112
 6.6 -1.85174 -2.81555 11.3562
 6.8 -2.41971 -2.84776 13.9647
 7 -2.9908 -2.84599 17.0446
 7.2 -3.55808 -2.80904 20.5507
 7.4 -4.11442 -2.73616 24.415
 7.6 -4.65257 -2.62706 28.5478
 7.8 -5.16528 -2.4819 32.84
 8 -5.64539 -2.30135 37.1667
 8.2 -6.08591 -2.08652 41.3918
 8.4 -6.4801 -1.83902 45.3737
 8.6 -6.82163 -1.56088 48.971
 8.8 -7.1046 -1.2546 52.0493
 9 -7.32363 -0.923072 54.4876
 9.2 -7.474 -0.569574 56.185
 9.4 -7.55165 -0.197732 57.0665
 9.6 -7.55329 0.188523 57.0877
 9.8 -7.47644 0.584996 56.2394
 10 -7.3195 0.987275 54.5498
 10.2 -7.08175 1.39078 52.0855
 10.4 -6.76341 1.79084 48.9508
 10.6 -6.36563 2.18269 45.2854
 10.8 -5.89054 2.56161 41.2603
 11 -5.3412 2.9229 37.0717
 11.2 -4.72159 3.26199 32.9339
 11.4 -4.03659 3.57449 29.071
 11.6 -3.29197 3.85622 25.7075
 11.8 -2.49426 4.10329 23.0584
 12 -1.65079 4.31215 21.3197
 12.2 -0.769529 4.47958 20.6589
 12.4 0.140942 4.60284 21.206
 12.6 1.07153 4.67961 23.047
 12.8 2.01273 4.70807 26.217
 13 2.95473 4.68692 30.6977
