t x v
 0.2 0.980067 -0.198667
 0.4 0.921062 -0.389413
 0.6 0.825339 -0.564635
 0.8 0.696713 -0.717348
 1 0.540312 -0.841462
 1.2 0.362371 -0.932031
 1.4 0.169985 -0.985444
 1.6 -0.0291785 -0.999571
 1.8 -0.227178 -0.973849
 2 -0.416121 -0.909304
 2.2 -0.588475 -0.808509
 2.4 -0.737369 -0.675483
 2.6 -0.856866 -0.515527
 2.8 -0.942204 -0.335021
 3 -0.98998 -0.141158
 3.2 -0.99829 0.058332
 3.4 -0.966802 0.255496
 3.6 -0.896772 0.442475
 3.8 -0.790991 0.611813
 4 -0.653677 0.756762
 4.2 -0.490304 0.871541
 4.4 -0.307385 0.951575
 4.6 -0.112211 0.993674
 4.8 0.0874355 0.99616
 5 0.283596 0.958932
 5.2 0.468451 0.883476
 5.4 0.634631 0.7728
 5.6 0.77551 0.631316
 5.8 0.885473 0.464663
 6 0.960136 0.279487
 6.2 0.996522 0.0831691
 6.4 0.993181 -0.116464
 6.6 0.950246 -0.311455
 6.8 0.869428 -0.494029
 7 0.753951 -0.656907
 7.2 0.608416 -0.793598
 7.4 0.438627 -0.898651
 7.6 0.251352 -0.967878
 7.8 0.0540564 -0.998521
 8 -0.145394 -0.989356
 8.2 -0.339048 -0.94075
 8.4 -0.519185 -0.85464
 8.6 -0.678625 -0.73446
 8.8 -0.81101 -0.584999
 9 -0.911064 -0.412218
 9.2 -0.974797 -0.223003
 9.4 -0.999669 -0.0248978
 9.6 -0.984689 0.174199
 9.8 -0.930453 0.366352
 10 -0.839124 0.543899
 10.2 -0.714343 0.699764
 10.4 -0.561084 0.827731
 10.6 -0.385457 0.9227
 10.8 -0.194464 0.980885
 11 0.00428167 0.999967
 11.2 0.202856 0.979183
 11.4 0.393344 0.919364
 11.6 0.56815 0.822894
 11.8 0.720307 0.693618
 12 0.843747 0.536691
 12.2 0.933551 0.358369
 12.4 0.986138 0.16576
 12.6 0.999412 -0.0334574
 12.8 0.972844 -0.23134
 13 0.907492 -0.420001
 13.2 0.805963 -0.591917
 13.4 0.672303 -0.740236
 13.6 0.511841 -0.859045
 13.8 0.330975 -0.943607
 14 0.136914 -0.990552
 14.2 -0.0626044 -0.998007
 14.4 -0.259627 -0.965676
 14.6 -0.4463 -0.894848
 14.8 -0.61518 -0.788345
 15 -0.759535 -0.650415
 15.2 -0.873611 -0.486556
 15.4 -0.952859 -0.3033
 15.6 -0.994121 -0.107953
 15.8 -0.995752 0.0916978
 16 -0.957686 0.287693
 16.2 -0.881441 0.472218
 16.4 -0.770057 0.637918
 16.6 -0.627974 0.778187
 16.8 -0.460856 0.887433
 17 -0.275367 0.9613
 17.2 -0.0788995 0.996844
 17.4 0.120713 0.992649
 17.6 0.315513 0.94888
 17.8 0.497735 0.867284
 18 0.660114 0.751113
 18.2 0.796176 0.604998
 18.4 0.900499 0.434765
 18.6 0.968922 0.247199
 18.8 0.998719 0.0497792
 19 0.9887 -0.149625
 19.2 0.939267 -0.343064
 19.4 0.852389 -0.522827
 19.6 0.731529 -0.681747
 19.8 0.581507 -0.813488
 20 0.408303 -0.912798
 20.2 0.218821 -0.975719
 20.4 0.0206167 -0.999742
 20.6 -0.17841 -0.98391
 20.8 -0.370324 -0.928853
 21 -0.547474 -0.836767
 21.2 -0.702799 -0.711323
 21.4 -0.830106 -0.557521
 21.6 -0.92432 -0.381493
 21.8 -0.981685 -0.190257
 22 -0.999915 0.00856318
 22.2 -0.978282 0.207042
 22.4 -0.917649 0.397267
 22.6 -0.820433 0.571655
 22.8 -0.690511 0.723252
 23 -0.53306 0.846017
 23.2 -0.354359 0.935054
 23.4 -0.161532 0.986815
 23.6 0.0377355 0.999236
 23.8 0.235498 0.971821
 24 0.423872 0.905664
 24.2 0.595348 0.803401
 24.4 0.74309 0.669111
 24.6 0.861208 0.508146
 24.8 0.944993 0.326924
 25 0.991105 0.132669
 25.2 0.997706 -0.0668755
 25.4 0.964532 -0.263753
 25.6 0.892907 -0.450116
 25.8 0.785685 -0.618535
 26 0.647142 -0.762295
 26.2 0.482799 -0.875665
 26.4 0.29921 -0.954126
 26.6 0.103693 -0.99455
 26.8 -0.0959582 -0.995326
 27 -0.291784 -0.956422
 27.2 -0.475977 -0.87939
 27.4 -0.641194 -0.7673
 27.6 -0.78085 -0.624621
 27.8 -0.889376 -0.457042
 28 -0.962447 -0.271242
 28.2 -0.997149 -0.0746288
 28.4 -0.992099 0.124959
 28.6 -0.947498 0.319565
 28.8 -0.865124 0.501431
 29 -0.748261 0.663307
 29.2 -0.601569 0.79874
 29.4 -0.430895 0.90233
 29.6 -0.243042 0.969948
 29.8 -0.0455015 0.998898
 30 0.153853 0.988027
 30.2 0.347075 0.937766
 30.4 0.526459 0.850121
 30.6 0.684856 0.728586
 30.8 0.81595 0.578005
 31 0.914516 0.404381
 31.2 0.976623 0.214637
 31.4 0.999797 0.0163356
 31.6 0.983113 -0.182616
 31.8 0.927237 -0.374288
 32 0.834395 -0.551038
 32.2001 0.70829 -0.705821
 32.4001 0.553948 -0.832465
 32.6001 0.377523 -0.925922
 32.8001 0.186048 -0.982467
 33.0001 -0.012844 -0.999845
 33.2001 -0.211224 -0.977363
 33.4001 -0.401183 -0.915917
 33.6001 -0.575148 -0.817958
 33.8001 -0.726185 -0.687391
 34.0001 -0.848271 -0.52942
 34.2001 -0.93654 -0.350344
 34.4001 -0.987474 -0.157301
 34.6001 -0.99904 0.0420125
 34.8001 -0.97078 0.239651
 35.0001 -0.903818 0.427736
 35.2001 -0.800825 0.598768
 35.4001 -0.665907 0.74593
 35.6001 -0.504442 0.863355
 35.8001 -0.322867 0.946361
 36.0001 -0.128421 0.991639
 36.2001 0.0711449 0.997386
 36.4001 0.267874 0.96337
 36.6001 0.453924 0.89095
 36.8001 0.621878 0.78301
 37.0001 0.76504 0.643856
 37.2001 0.877703 0.479034
 37.4001 0.955375 0.295115
 37.6001 0.994961 0.099431
 37.8001 0.994882 -0.100217
 38.0001 0.955141 -0.295869
 38.2001 0.877322 -0.479726
 38.4001 0.764529 -0.644458
 38.6001 0.621257 -0.783498
 38.8001 0.453218 -0.891303
 39.0001 0.267112 -0.963576
 39.2001 0.0703568 -0.997435
 39.4001 -0.129203 -0.99153
 39.6001 -0.323611 -0.946097
 39.8001 -0.505119 -0.862948
 40.0001 -0.666489 -0.745396
 40.2001 -0.801289 -0.598129
 40.4001 -0.904145 -0.427017
 40.6001 -0.970956 -0.238881
 40.8001 -0.999059 -0.041223
 41.0001 -0.987335 0.158079
 41.2001 -0.936249 0.351078
 41.4001 -0.847839 0.530081
 41.6001 -0.725629 0.687952
 41.8001 -0.574492 0.818397
 42.0001 -0.400452 0.916216
 42.2001 -0.210448 0.977509
 42.4001 -0.0120542 0.999833
 42.6001 0.18682 0.982298
 42.8001 0.378246 0.925603
 43.0001 0.554592 0.832008
 43.2001 0.70883 0.705244
 43.4001 0.834809 0.550365
 43.6001 0.927507 0.373546
 43.8001 0.98323 0.181835
 44.0001 0.999756 -0.0171246
 44.2001 0.976425 -0.215401
 44.4001 0.914169 -0.405091
 44.6001 0.815468 -0.578631
 44.8001 0.684259 -0.729103
 45.0001 0.52577 -0.850509
 45.2001 0.346322 -0.938009
 45.4001 0.153068 -0.988114
 45.6001 -0.0462886 -0.998827
 45.8001 -0.2438 -0.969721
 46.0001 -0.431591 -0.901956
 46.2001 -0.602177 -0.798234
 46.4001 -0.748756 -0.662691
 46.6001 -0.865485 -0.500728
 46.8001 -0.947711 -0.318804
 47.0001 -0.992156 -0.12417
 47.2001 -0.997047 0.0754129
 47.4001 -0.962191 0.27199
 47.6001 -0.888976 0.457723
 47.8001 -0.780321 0.625209
 48.0001 -0.640559 0.767771
 48.2001 -0.47526 0.879724
 48.4001 -0.291014 0.956606
 48.6001 -0.0951677 0.995353
 48.8001 0.104473 0.994419
 49.0001 0.299948 0.953842
 49.2001 0.483466 0.875239
 49.4001 0.647709 0.761744
 49.6001 0.786131 0.617881
 49.8001 0.893214 0.449387
 50.0001 0.964687 0.262977
 50.2001 0.997702 0.066084
 50.4001 0.990944 -0.133444
 50.6001 0.94468 -0.327651
 50.8001 0.860756 -0.508796
 51.0001 0.742517 -0.669658
 51.2001 0.594678 -0.803823
 51.4001 0.423131 -0.905943
 51.6001 0.234716 -0.971946
 51.8001 0.0369442 -0.999202
 52.0001 -0.1623 -0.986625
 52.2001 -0.355075 -0.934714
 52.4001 -0.533693 -0.845541
 52.6001 -0.691036 -0.722659
 52.8001 -0.82083 -0.570968
 53.0001 -0.9179 -0.396515
 53.2001 -0.978378 -0.206255
 53.4001 -0.999851 -0.00777306
 53.6001 -0.981465 0.191019
 53.8001 -0.923952 0.382196
 54.0001 -0.829605 0.558136
 54.2001 -0.702185 0.711825
 54.4001 -0.546773 0.837137
 54.6001 -0.369562 0.929076
 54.8001 -0.177619 0.983976
 55.0001 0.0214045 0.999649
 55.2001 0.219575 0.97547
 55.4001 0.408991 0.912404
 55.6001 0.582103 0.812963
 55.8001 0.732009 0.681114
 56.0001 0.852732 0.522111
 56.2001 0.93946 0.342295
 56.4001 0.988736 0.148832
 56.6001 0.998595 -0.0505635
 56.8001 0.968645 -0.247943
 57.0001 0.900078 -0.435438
 57.2001 0.79563 -0.605574
 57.4001 0.659463 -0.751568
 57.6001 0.497006 -0.8676
 57.8001 0.314736 -0.949044
 58.0001 0.119918 -0.992654
 58.2001 -0.0796792 -0.996691
 58.4002 -0.2761 -0.960994
 58.6002 -0.461514 -0.886986
 58.8002 -0.628529 -0.777618
 59.0002 -0.770488 -0.63725
 59.2002 -0.881729 -0.471477
 59.4002 -0.95782 -0.286909
 59.6002 -0.995727 -0.0909028
 59.8002 -0.993938 0.108727
 60.0002 -0.952525 0.304022
 60.2002 -0.873139 0.487197
 60.4002 -0.758945 0.650949
 60.6002 -0.614495 0.788751
 60.8002 -0.445547 0.895108
 61.0002 -0.258838 0.965781
 61.2002 -0.06181 0.997952
 61.4002 0.137682 0.990339
 61.6002 0.331685 0.943246
 61.8002 0.512465 0.858549
 62.0002 0.672815 0.739625
