t x v E
 0.2 0.995037 -0.0494208 0.992542
 0.4 0.98033 -0.0973742 0.970528
 0.6 0.956215 -0.143415 0.934916
 0.8 0.923119 -0.187125 0.887165
 1 0.881547 -0.228118 0.829163
 1.2 0.832077 -0.266044 0.763131
 1.4 0.775355 -0.300586 0.691527
 1.6 0.712086 -0.331471 0.61694
 1.8 0.643026 -0.358465 0.54198
 2 0.568973 -0.381379 0.46918
 2.2 0.490757 -0.400066 0.400895
 2.4 0.409235 -0.414426 0.339222
 2.6 0.325279 -0.424401 0.285923
 2.8 0.239768 -0.429981 0.242372
 3 0.153578 -0.431196 0.209517
 3.2 0.0675753 -0.428122 0.187855
 3.4 -0.0173927 -0.420874 0.177438
 3.6 -0.100506 -0.409606 0.177879
 3.8 -0.18098 -0.394509 0.188391
 4 -0.258069 -0.375808 0.207832
 4.2 -0.33108 -0.35376 0.23476
 4.4 -0.399369 -0.328649 0.267506
 4.6 -0.462356 -0.300784 0.304244
 4.8 -0.519521 -0.270495 0.34307
 5 -0.570415 -0.238131 0.38208
 5.2 -0.614659 -0.204051 0.419442
 5.4 -0.651946 -0.168628 0.453469
 5.6 -0.682045 -0.132238 0.482673
 5.8 -0.704802 -0.09526 0.50582
 6 -0.720135 -0.0580723 0.521967
 6.2 -0.728042 -0.0210464 0.530487
 6.4 -0.728589 0.0154545 0.531081
 6.6 -0.721918 0.0510798 0.523775
 6.8 -0.708238 0.0854943 0.50891
 7 -0.687822 0.118382 0.487114
 7.2 -0.661007 0.149447 0.459264
 7.4 -0.628183 0.178418 0.426447
 7.6 -0.589796 0.205051 0.389905
 7.8 -0.546333 0.229128 0.35098
 8 -0.498327 0.250462 0.311061
 8.2 -0.446342 0.268895 0.271526
 8.4 -0.390971 0.284304 0.233687
 8.6 -0.332829 0.296595 0.198744
 8.8 -0.272545 0.305709 0.167739
 9 -0.210759 0.311617 0.141525
 9.2 -0.148112 0.314327 0.120738
 9.4 -0.0852395 0.313873 0.105782
 9.6 -0.0227691 0.310323 0.0968189
 9.8 0.0386896 0.303774 0.0937754
 10 0.0985486 0.294349 0.0963532
 10.2 0.156247 0.282199 0.10405
 10.4 0.211258 0.267498 0.116185
 10.6 0.26309 0.250442 0.131937
 10.8 0.311292 0.231246 0.150378
 11 0.355461 0.210143 0.170513
 11.2 0.395239 0.187379 0.191325
 11.4 0.430319 0.163212 0.211813
 11.6 0.460448 0.137909 0.231031
 11.8 0.485425 0.111742 0.248124
 12 0.505105 0.0849888 0.262355
 12.2 0.5194 0.0579242 0.273131
 12.4 0.528273 0.0308225 0.280022
 12.6 0.531744 0.00395258 0.282768
 12.8 0.529887 -0.0224244 0.281283
 13 0.522824 -0.0480573 0.275655
 13.2 0.510729 -0.0727071 0.266131
 13.4 0.493822 -0.0961497 0.253105
 13.6 0.472364 -0.118177 0.237093
 13.8 0.446658 -0.138599 0.218713
 14 0.417043 -0.157245 0.198651
 14.2 0.383888 -0.173967 0.177635
 14.4 0.347593 -0.188637 0.156405
 14.6 0.308578 -0.20115 0.135681
 14.8 0.267282 -0.211426 0.116141
 15 0.224161 -0.219406 0.098387
 15.2 0.179675 -0.225058 0.0829343
 15.4 0.134293 -0.228372 0.0701884
