t x v E
 0.2 4.96611 -0.327326 24.7694
 0.4 4.87347 -0.588673 24.0972
 0.6 4.7346 -0.7907 23.0416
 0.8 4.5607 -0.940065 21.6837
 1 4.36165 -1.04329 20.1124
 1.2 4.14604 -1.10666 18.4143
 1.4 3.92124 -1.13613 16.6669
 1.6 3.69347 -1.13726 14.9351
 1.8 3.46788 -1.11517 13.2698
 2 3.24864 -1.07456 11.7083
 2.2 3.03901 -1.01962 10.2752
 2.4 2.84149 -0.954076 8.98435
 2.6 2.65787 -0.881213 7.8408
 2.8 2.48931 -0.803856 6.84283
 3 2.33646 -0.724412 5.98383
 3.2 2.19954 -0.644895 5.25388
 3.4 2.0784 -0.566953 4.64117
 3.6 1.97257 -0.491906 4.133
 3.8 1.88137 -0.420774 3.71661
 4 1.80395 -0.354314 3.37976
 4.2 1.7393 -0.293048 3.11104
 4.4 1.68636 -0.237301 2.90011
 4.6 1.644 -0.187224 2.73779
 4.8 1.61109 -0.142826 2.616
 5 1.5865 -0.104 2.52779
 5.2 1.56913 -0.0705421 2.46715
 5.4 1.55794 -0.042179 2.42896
 5.6 1.55194 -0.0185816 2.40886
 5.8 1.55021 0.000616273 2.40316
 6 1.55192 0.0158039 2.4087
 6.2 1.55629 0.0273819 2.4228
 6.4 1.56266 0.0357515 2.44318
 6.6 1.57041 0.0413068 2.46789
 6.8 1.57902 0.0444277 2.49527
 7 1.58804 0.0454749 2.52394
 7.2 1.59709 0.044786 2.55271
 7.4 1.60586 0.0426727 2.58061
 7.6 1.61409 0.0394194 2.60683
 7.8 1.62157 0.035282 2.63073
 8 1.62816 0.0304883 2.65182
 8.2 1.63373 0.0252381 2.66973
 8.4 1.63823 0.0197044 2.68419
 8.6 1.64161 0.0140347 2.69507
 8.8 1.64385 0.00835252 2.7023
 9 1.64495 0.00275942 2.70588
 9.2 1.64496 -0.00266323 2.7059
 9.4 1.6439 -0.00785222 2.70249
 9.6 1.64184 -0.0127604 2.6958
 9.8 1.63882 -0.017355 2.68604
 10 1.63492 -0.0216152 2.67343
 10.2 1.6302 -0.0255308 2.6582
 10.4 1.62473 -0.0291006 2.64059
 10.6 1.61858 -0.0323301 2.62085
 10.8 1.61182 -0.0352311 2.5992
 11 1.60451 -0.0378196 2.57588
 11.2 1.59671 -0.040115 2.5511
 11.4 1.58848 -0.0421392 2.52505
 11.6 1.57987 -0.0439152 2.49792
 11.8 1.57093 -0.0454673 2.46989
 12 1.5617 -0.0468194 2.44109
 12.2 1.55221 -0.0479952 2.41167
 12.4 1.54251 -0.0490177 2.38174
 12.6 1.53262 -0.0499087 2.3514
 12.8 1.52255 -0.0506884 2.32074
 13 1.51235 -0.0513758 2.28983
 13.2 1.50201 -0.051988 2.25874
 13.4 1.49156 -0.0525406 2.2275
 13.6 1.481 -0.0530474 2.19616
 13.8 1.47034 -0.0535205 2.16476
 14 1.45959 -0.0539703 2.13332
 14.2 1.44875 -0.0544058 2.10184
